Name,Team,Opp,Pos,Proj,Salary
Josh Allen,BUF,NE,QB,22.7,9300
Matthew Stafford,LAR,DET,QB,21.3,8300
Jalen Hurts,PHI,LV,QB,21.1,8700
Lamar Jackson,BAL,CIN,QB,21.1,8200
Jaxson Dart,NYG,WAS,QB,19.6,7600
Drake Maye,NE,BUF,QB,19.0,8100
Joe Burrow,CIN,BAL,QB,18.9,8400
Brock Purdy,SF,TEN,QB,18.8,7500
Patrick Mahomes,KC,LAC,QB,18.7,8500
Marcus Mariota,WAS,NYG,QB,18.5,6700
C.J. Stroud,HOU,ARI,QB,18.5,6900
Trevor Lawrence,JAX,NYJ,QB,18.4,7200
Jared Goff,DET,LAR,QB,17.4,7900
Bo Nix,DEN,GB,QB,16.8,7100
Sam Darnold,SEA,IND,QB,16.4,7300
Caleb Williams,CHI,CHI,QB,15.7,7500
Jordan Love,GB,DEN,QB,15.5,7700
Justin Herbert,LAC,KC,QB,15.2,7800
Tyler Shough,NO,CAR,QB,14.9,7000
Jacoby Brissett,ARI,HOU,QB,14.3,7400
Bryce Young,CAR,NO,QB,13.8,6800
Cam Ward,TEN,SF,QB,12.6,6300
Shedeur Sanders,CLE,CHI,QB,11.2,6600
Kenny Pickett,LV,PHI,QB,11.0,6200
Brady Cook,NYJ,JAX,QB,10.1,6300
Philip Rivers,IND,SEA,QB,9.1,6500
Jahmyr Gibbs,DET,LAR,RB,20.2,9500
Christian McCaffrey Q,SF,TEN,RB,19.5,9000
Derrick Henry,BAL,CIN,RB,16.6,8400
Travis Etienne Jr.,JAX,NYJ,RB,15.9,7500
James Cook III,BUF,NE,RB,15.5,8300
Jonathan Taylor,IND,SEA,RB,15.3,9300
Saquon Barkley,PHI,LV,RB,15.2,8500
Woody Marks,HOU,ARI,RB,14.6,6500
Quinshon Judkins,CLE,CHI,RB,13.1,7700
Josh Jacobs Q,GB,DEN,RB,13.0,8200
RJ Harvey,DEN,GB,RB,12.6,6600
Kyren Williams,LAR,DET,RB,12.1,7200
Kenneth Walker III,SEA,IND,RB,12.1,6200
Ashton Jeanty,LV,PHI,RB,11.9,6300
Chase Brown,CIN,BAL,RB,11.3,7100
TreVeyon Henderson,NE,BUF,RB,11.2,6700
Devin Neal,NO,CAR,RB,11.2,6100
Breece Hall,NYJ,JAX,RB,11.1,7300
Rico Dowdle,CAR,NO,RB,10.7,7000
Tyrone Tracy Jr.,NYG,WAS,RB,10.4,5800
D'Andre Swift,CHI,CLE,RB,10.4,5900
Omarion Hampton,LAC,KC,RB,9.2,6900
Kyle Monangai,CHI,CLE,RB,9.0,6000
Chuba Hubbard,CAR,NO,RB,8.8,5900
Kareem Hunt,KC,LAC,RB,8.6,6400
Tony Pollard,TEN,SF,RB,8.6,5900
Chris Rodriguez Jr. Q,WAS,NYG,RB,8.6,5700
Zach Charbonnet,SEA,IND,RB,8.5,5800
Rhamondre Stevenson,NE,BUF,RB,7.8,5700
Devin Singletary,NYG,WAS,RB,7.6,5600
David Montgomery,DET,LAR,RB,7.5,5800
Zonovan Knight,ARI,HOU,RB,7.1,5600
Tyjae Spears,TEN,SF,RB,7.1,5000
Blake Corum,LAR,DET,RB,6.1,6000
Puka Nacua,LAR,DET,WR,19.3,9700
Ja'Marr Chase,CIN,BAL,WR,18.1,9200
Jaxon Smith-Njigba,SEA,IND,WR,17.2,10000
Amon-Ra St. Brown,DET,LAR,WR,15.4,8600
Davante Adams Q,LAR,DET,WR,14.7,8000
Nico Collins,HOU,ARI,WR,14.0,8300
Rashee Rice,KC,LAC,WR,13.8,8700
A.J. Brown,PHI,LV,WR,12.3,8200
Michael Wilson,ARI,HOU,WR,11.9,7000
Jameson Williams,DET,LAR,WR,11.5,6300
Tetairoa McMillan,CAR,NO,WR,11.4,6900
Zay Flowers,BAL,CIN,WR,11.0,7300
Chris Olave,NO,CAR,WR,10.9,7500
Wan'Dale Robinson,NYG,WAS,WR,10.7,5800
Jakobi Meyers,JAX,NYJ,WR,10.5,6100
Stefon Diggs,NE,BUF,WR,10.3,6400
Terry McLaurin,WAS,NYG,WR,10.2,7100
DeVonta Smith,PHI,LV,WR,10.1,7400
Courtland Sutton,DEN,GB,WR,9.2,6100
Jauan Jennings,SF,TEN,WR,9.1,6200
Christian Watson,GB,DEN,WR,9.0,6500
Deebo Samuel Sr. Q,WAS,NYG,WR,8.7,6800
Ladd McConkey,LAC,KC,WR,8.5,7200
Brian Thomas Jr.,JAX,NYJ,WR,8.3,6000
Khalil Shakir,BUF,NE,WR,8.0,5900
Rome Odunze Q,CHI,CLE,WR,7.4,6600
Troy Franklin,DEN,GB,WR,7.2,5800
Adonai Mitchell,NYJ,JAX,WR,7.0,5700
Devaughn Vele,NO,CAR,WR,7.0,5600
Xavier Worthy,KC,LAC,WR,7.0,6000
Jayden Higgins,HOU,ARI,WR,6.9,5800
Romeo Doubs,GB,DEN,WR,6.7,5700
John Metchie III,NYJ,JAX,WR,6.6,5600
Jerry Jeudy,CLE,CHI,WR,6.5,5700
Jayden Reed,GB,DEN,WR,6.5,5900
Keenan Allen,LAC,KC,WR,6.5,6000
Chimere Dike,TEN,SF,WR,6.5,5500
Ricky Pearsall,SF,TEN,WR,6.4,5700
Jalen Coker,CAR,NO,WR,6.3,5800
Elic Ayomanor,TEN,SF,WR,6.3,5300
Darius Slayton,NYG,WAS,WR,6.2,5600
Michael Pittman Jr.,IND,SEA,WR,6.1,5900
Kayshon Boutte,NE,BUF,WR,6.0,5700
Andrei Iosivas,CIN,BAL,WR,6.0,4800
Parker Washington,JAX,NYJ,WR,5.8,5000
Mitch Tinsley,CIN,BAL,WR,5.7,4300
George Kittle,SF,TEN,TE,12.5,6500
Trey McBride,ARI,HOU,TE,12.3,8000
Brock Bowers,LV,PHI,TE,9.9,7400
Harold Fannin Jr.,CLE,CHI,TE,9.0,5700
Travis Kelce,KC,LAC,TE,8.6,6200
Dalton Kincaid,BUF,NE,TE,8.4,6000
Mark Andrews,BAL,CIN,TE,8.4,5300
Hunter Henry,NE,BUF,TE,8.3,5400
Mike Gesicki,CIN,BAL,TE,7.9,5100
Dalton Schultz,HOU,ARI,TE,7.7,5400
Juwan Johnson,NO,CAR,TE,7.4,5300
Theo Johnson,NYG,WAS,TE,7.4,5200
Isaiah Likely,BAL,CIN,TE,7.3,5200
Brenton Strange,JAX,NYJ,TE,7.3,5500
AJ Barner,SEA,IND,TE,7.0,5100
Dallas Goedert,PHI,LV,TE,6.8,5600
Tyler Warren,IND,SEA,TE,6.8,5900
Oronde Gadsden II,LAC,KC,TE,6.7,5800
Colby Parkinson,LAR,DET,TE,6.6,5100
Colston Loveland,CHI,CLE,TE,5.8,5200
Evan Engram,DEN,GB,TE,5.6,4900
Gunnar Helm,TEN,SF,TE,5.0,4700
Chig Okonkwo,TEN,SF,TE,4.9,4800
Jacksonville Jaguars,JAX,NYJ,D,9.8,4900
Seattle Seahawks,SEA,IND,D,9.7,5000
Houston Texans,HOU,ARI,D,9.4,4400
Philadelphia Eagles,PHI,LV,D,9.4,4800
San Francisco 49ers,SF,TEN,D,8.8,4700
Chicago Bears,CHI,CLE,D,8.7,4600
Kansas City Chiefs,KC,LAC,D,7.7,4200
New York Giants,NYG,WAS,D,7.1,3300
Carolina Panthers,CAR,NO,D,6.9,3600
Buffalo Bills,BUF,NE,D,6.5,3800
Green Bay Packers,GB,DEN,D,6.3,4300
Cleveland Browns,CLE,CHI,D,6.1,4100
New Orleans Saints,NO,CAR,D,6.0,3200
Los Angeles Chargers,LAC,KC,D,6.0,3700
Baltimore Ravens,BAL,CIN,D,5.9,3400
Los Angeles Rams,LAR,DET,D,5.8,4000
Denver Broncos,DEN,GB,D,5.7,4500
Washington Commanders,WAS,NYG,D,5.6,3500
Arizona Cardinals,ARI,HOU,D,4.9,3100
New England Patriots,NE,BUF,D,4.8,3900
Cincinnati Bengals,CIN,BAL,D,4.8,3000
New York Jets,NYJ,JAX,D,4.6,3200
Las Vegas Raiders,LV,PHI,D,4.6,3000
Indianapolis Colts,IND,SEA,D,4.5,3400
Tennessee Titans,TEN,SF,D,4.4,3100
Detroit Lions,DET,LAR,D,4.2,3300
